county,date,state,vaccination_pct
Autauga,2021-04-03,Alabama,9.5
Baldwin,2021-04-03,Alabama,14.8
Barbour,2021-04-03,Alabama,11.6
Bibb,2021-04-03,Alabama,9.8
Blount,2021-04-03,Alabama,7.9
Bullock,2021-04-03,Alabama,15.5
Butler,2021-04-03,Alabama,11.0
Calhoun,2021-04-03,Alabama,14.3
Chambers,2021-04-03,Alabama,10.1
Cherokee,2021-04-03,Alabama,13.0
Chilton,2021-04-03,Alabama,8.0
Choctaw,2021-04-03,Alabama,18.7
Clarke,2021-04-03,Alabama,17.8
Clay,2021-04-03,Alabama,12.2
Cleburne,2021-04-03,Alabama,10.9
Coffee,2021-04-03,Alabama,11.1
Colbert,2021-04-03,Alabama,14.8
Conecuh,2021-04-03,Alabama,15.1
Coosa,2021-04-03,Alabama,14.4
Covington,2021-04-03,Alabama,10.7
Crenshaw,2021-04-03,Alabama,10.5
Cullman,2021-04-03,Alabama,14.3
Dale,2021-04-03,Alabama,17.4
Dallas,2021-04-03,Alabama,14.8
DeKalb,2021-04-03,Alabama,8.2
Elmore,2021-04-03,Alabama,11.1
Escambia,2021-04-03,Alabama,11.0
Etowah,2021-04-03,Alabama,11.2
Fayette,2021-04-03,Alabama,12.2
Franklin,2021-04-03,Alabama,14.6
Geneva,2021-04-03,Alabama,12.6
Greene,2021-04-03,Alabama,12.4
Hale,2021-04-03,Alabama,19.8
Henry,2021-04-03,Alabama,16.1
Houston,2021-04-03,Alabama,15.1
Jackson,2021-04-03,Alabama,15.8
Jefferson,2021-04-03,Alabama,15.5
Lamar,2021-04-03,Alabama,16.2
Lauderdale,2021-04-03,Alabama,15.8
Lawrence,2021-04-03,Alabama,14.9
Lee,2021-04-03,Alabama,14.5
Limestone,2021-04-03,Alabama,11.7
Lowndes,2021-04-03,Alabama,9.8
Macon,2021-04-03,Alabama,16.2
Madison,2021-04-03,Alabama,15.5
Marengo,2021-04-03,Alabama,17.2
Marion,2021-04-03,Alabama,12.4
Marshall,2021-04-03,Alabama,11.4
Mobile,2021-04-03,Alabama,14.7
Monroe,2021-04-03,Alabama,14.6
Montgomery,2021-04-03,Alabama,13.6
Morgan,2021-04-03,Alabama,13.9
Perry,2021-04-03,Alabama,18.1
Pickens,2021-04-03,Alabama,14.4
Pike,2021-04-03,Alabama,12.9
Randolph,2021-04-03,Alabama,12.5
Russell,2021-04-03,Alabama,8.7
Shelby,2021-04-03,Alabama,8.0
St. Clair,2021-04-03,Alabama,8.9
Sumter,2021-04-03,Alabama,14.5
Talladega,2021-04-03,Alabama,11.3
Tallapoosa,2021-04-03,Alabama,13.8
Tuscaloosa,2021-04-03,Alabama,12.8
Walker,2021-04-03,Alabama,13.3
Washington,2021-04-03,Alabama,15.7
Wilcox,2021-04-03,Alabama,19.5
Winston,2021-04-03,Alabama,7.2
Aleutians East,2021-04-03,Alaska,19.2
Aleutians West,2021-04-03,Alaska,14.6
Anchorage,2021-04-03,Alaska,24.5
Bethel,2021-04-03,Alaska,34.5
Bristol Bay,2021-04-03,Alaska,42.2
Denali,2021-04-03,Alaska,15.5
Dillingham,2021-04-03,Alaska,26.6
Fairbanks North Star,2021-04-03,Alaska,16.5
Haines,2021-04-03,Alaska,43.1
Hoonah-Angoon,2021-04-03,Alaska,41.5
Juneau,2021-04-03,Alaska,24.4
